,open,high,low,close,quantity,high_low_diff,open_close_diff,high_low_mid,open_close_mid,week_day_1,week_day_2,week_day_3,week_day_4,week_day_5,week_day_6,week_day_7,normal_days,prior_holidays,following_holidays,prior_holidays_0,prior_holidays_1,prior_holidays_2,prior_holidays_3,prior_holidays_4,following_holidays_0,following_holidays_1,following_holidays_2,following_holidays_3,following_holidays_4,year_trend,month_trend,year_2015,year_2016,year_2017,year_2018,year_2019,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,month_end,month_start,quarter_end,quarter_start,year_end,year_start,is_green_candle,is_red_candle,is_bearish,is_bullish,is_neither_bearish_nor_bullish,is_darkCloudCover,is_darkCloudCover_confirmed,quantityDifference,big_red_candle,big_green_candle,very_big_red_candle,very_big_green_candle,is_spinningTop,is_shavenBottom,is_shavenHead,is_Marubozu,is_long_lower_shadow,is_long_upper_shadow,is_shooting_star,is_hanging_man,is_LongLeggedCandle,is_Doji,is_longLeggedDoji,is_dragonFlyDoji,is_graveStoneDoji,is_hammer,is_inverted_hammer,RUNNING_DAY_HOURS_open_avg,RUNNING_DAY_HOURS_high_avg,RUNNING_DAY_HOURS_low_avg,RUNNING_DAY_HOURS_close_avg,RUNNING_WEEK_open_avg,RUNNING_WEEK_high_avg,RUNNING_WEEK_low_avg,RUNNING_WEEK_close_avg,LAST_2_WEEKS_open_avg,LAST_2_WEEKS_high_avg,LAST_2_WEEKS_low_avg,LAST_2_WEEKS_close_avg,LAST_3_WEEKS_open_avg,LAST_3_WEEKS_high_avg,LAST_3_WEEKS_low_avg,LAST_3_WEEKS_close_avg,LAST_4_WEEKS_open_avg,LAST_4_WEEKS_high_avg,LAST_4_WEEKS_low_avg,LAST_4_WEEKS_close_avg,RUNNING_MONTH_open_avg,RUNNING_MONTH_high_avg,RUNNING_MONTH_low_avg,RUNNING_MONTH_close_avg
open,1.0,0.9995414639387189,0.9995313494660424,0.9992983611046202,0.025084140079056287,0.37722007522106676,0.025801438775350346,0.999722261644291,0.9998246213794355,-0.005228412204142952,-0.007126396910748592,-0.0019360921097724374,0.004780874063926392,0.005643605776369828,0.05029134975973041,0.005469436568281313,0.016151726767274645,0.011734714394035561,-0.007430882642434868,-0.0222098523690496,0.06451738136321361,-0.012303209596658576,0.02418584289401562,-0.009160520951045465,0.005477034001841158,0.018628063165997424,-0.017671070264189834,0.01008855040985341,-0.002702682809512234,0.4785463999636742,-0.017737005454942483,-0.05767130291210471,-0.31700328921598264,-0.13876750088790663,-0.1955379642273988,0.7259250268194043,0.07337165252872942,0.02623417147141458,0.08048220891761348,0.04859189477690536,-0.07419146212580383,-0.1501860669533546,-0.041729214827540405,-0.044605493507536564,-0.04310973575088438,-0.01146653676912778,0.10617086322461453,0.046537981508053994,0.01711803361334603,0.007251300610147786,0.0052875741198006735,0.036087261261849524,0.01768983976916759,0.03535130427458653,-0.0020749630523395034,0.05399091018639159,-0.001953472442615314,0.018191454451612004,-0.020781735978532195,0.04106504689766686,0.02254239305254117,-0.004064953040868118,0.16578395683692498,0.10804214801532902,0.25270864303215584,0.1910081546852066,0.016620199021009863,-0.07329231070609304,-0.05815012124624894,-0.040354388291107816,-0.002525489690995548,-0.0037361827806972254,-0.0037361827806972254,-0.011642674634540832,0.30993183478865377,0.011507825299891488,0.12161386813957961,0.05128206762847918,0.05698943444660206,-0.0070435899231714545,-0.0037361827806972254,0.9982379417425696,0.9985957206138973,0.9985350001580152,0.9988268874442633,0.9878272119582653,0.9884253484860335,0.9882459263618986,0.9887124952808941,0.9735950093180777,0.9743249631766786,0.97401150023772,0.9745758175060548,0.9592528873483848,0.960151824786087,0.9595333129071505,0.9602608956991228,0.9467823694163551,0.9478524123316628,0.9468650098530106,0.9477575254058711,0.9013318629128603,0.9028580824530361,0.90099780822655,0.9022734850812582
high,0.9995414639387189,1.0,0.9992565558296085,0.9996780459231364,0.039495255492158085,0.39486862193063066,0.003425503420250293,0.9998170291912707,0.9997851332967932,-0.0048690690248763355,-0.006757960708048351,-0.002164315030301439,0.0044382295888129395,0.005504595869858313,0.05015375036710307,0.005330833883077127,0.016184151200768604,0.011838401710797919,-0.007445174853611041,-0.022441076912478004,0.0645867054193523,-0.01189389569778846,0.023858787051198403,-0.009536892363590281,0.00570810773544565,0.018389939121200287,-0.018031685973727965,0.010210347735598984,-0.0016147873526395776,0.4812867404552162,-0.01746276772811699,-0.05885298543483184,-0.318397667004816,-0.14044564519122604,-0.1928453998358281,0.7274949392941805,0.0734277316831672,0.027527137631392695,0.07931645517861334,0.047737462453159935,-0.07478760569569658,-0.1507222812238729,-0.04083081507620081,-0.04428614135956266,-0.043342643957763986,-0.010166886206518408,0.10637609716851883,0.04581616159527936,0.017407521931757895,0.0077445567214497225,0.0049348268109391654,0.03727113415704714,0.01729903839681891,0.03547734254876858,0.012611578872131253,0.041083664532771194,0.006344329800242972,0.00911126466297259,-0.01962041954400438,0.0389013645833494,0.020979812445645483,0.006036244935926723,0.1557480872307671,0.12497349882944565,0.24518763285097364,0.20961435497914213,0.027073295672135934,-0.06972443762261017,-0.06447954089459716,-0.04109220401696068,-0.0029001563998469976,-0.0024118945819595,-0.0024118945819595,-0.01186317767660488,0.32347688016249815,0.0009665340728867988,0.12412703758324843,0.050753625414692444,0.05955420518532464,-0.007307277988924572,-0.0024118945819595,0.9976533454942913,0.9982024489144354,0.9979197670479992,0.9983733047613913,0.9871547644482281,0.987825383365212,0.9875423292060962,0.9880731766488469,0.9728045390728143,0.9735876501458356,0.9731919995219445,0.9738055276524502,0.9584229856578237,0.9593661991769722,0.9586730704920672,0.959443316304789,0.9459926087546824,0.9471009727579336,0.9460454267772185,0.946975679964829,0.9005632120936836,0.9021158863980623,0.900208100001561,0.9015096006153057
low,0.9995313494660424,0.9992565558296085,1.0,0.9996132370541567,0.01576278139060076,0.3591549468776107,0.004885262909001897,0.9998111912556897,0.9997476686773604,-0.005710062755142716,-0.006775492331756659,-0.001485818649230972,0.00459110559072444,0.005618021406754667,0.048681783193537886,0.0056552717157619834,0.016409744013081113,0.011243695115033037,-0.007537807004107014,-0.021697472191444345,0.0644825319381603,-0.01282441918292909,0.024076524860646358,-0.009072847589739311,0.005387371021595559,0.01895193103833239,-0.01761945348902666,0.010383698753962847,-0.004095653827642924,0.4767070361765908,-0.01629150412398216,-0.05760541012146788,-0.3155447074510401,-0.13691615864350823,-0.19754450517330585,0.7245177846169949,0.07236808606175278,0.024678572578140878,0.08119654082029867,0.04888708996210562,-0.07465967655951,-0.1502854542640908,-0.0410452826127542,-0.0449223055604793,-0.043048950794913506,-0.011197558174855567,0.10662181928514954,0.04747823635882253,0.016945734648882802,0.006726855296684126,0.0057196707807913374,0.03601777544515278,0.018285414220228686,0.03520640272670029,0.009334591440359497,0.04082812152250552,0.005421934038492855,0.010512889779694529,-0.02025061347782684,0.037432903471373236,0.02103388938914864,-0.01090103228936986,0.1503839748630123,0.11661555390790114,0.23567774382983295,0.19730849478529275,0.007491878348798004,-0.06725561590491562,-0.06300278410292873,-0.03922064558631763,-0.005984451793256954,-0.0035437791855638117,-0.0035437791855638117,-0.019110222968851318,0.29729831629853953,0.02295402588507075,0.12036868463097286,0.049247902586538904,0.058281960973886084,-0.010261882607947297,-0.0035437791855638117,0.9977037195164216,0.9980349253566041,0.9981923276927795,0.9984078075714565,0.987227415377852,0.9877943555356341,0.9877115784723619,0.9881378956993694,0.9729801819684146,0.9736848114466862,0.9734401578372033,0.9739743680806681,0.9586262516629517,0.95950560718369,0.9589400815385917,0.95964428609999,0.9461393448757123,0.9471940371778785,0.946249379256436,0.9471228443788461,0.9005776167836533,0.9020942145909033,0.9002586085785976,0.901523239668746
close,0.9992983611046202,0.9996780459231364,0.9996132370541567,1.0,0.02948623694971913,0.3785749818672928,-0.011657973780732274,0.9998317314828128,0.9998245283927536,-0.0049305038296891795,-0.0069175810795436225,-0.0017826866982094743,0.0044760621332838755,0.005350307093606225,0.049566876745807356,0.0052225763441018,0.01612204868128495,0.011748395184001241,-0.007582927391542253,-0.022342358978889643,0.06447928098513428,-0.011895748163728938,0.02365120103886292,-0.00939017897740471,0.005658486038463731,0.018451563129066543,-0.01781260661938125,0.010254909816959543,-0.0030087689375330445,0.4793298336819056,-0.016602214358109532,-0.05850502214267907,-0.3171240903955529,-0.13863494947266494,-0.19490503544179116,0.7260930464067852,0.07295180714547053,0.026392577402272216,0.07989984053020036,0.047977067593882115,-0.07495214010336451,-0.15055008466552022,-0.04082556668850021,-0.044583682711348945,-0.043499909647560425,-0.010101703592787776,0.10659737871736921,0.04677481049904016,0.017113581527823316,0.0076380147749691134,0.005320623923784249,0.03721018854285414,0.017877495795353106,0.03562951846760556,0.020212999978892712,0.03180577951699027,0.010622231254712079,0.004628832260369105,-0.019275702718179417,0.03584099546662051,0.01988532302952965,-0.0010818077360499091,0.14438087987790443,0.1298486461646189,0.2322283925580298,0.21226519779223235,0.018171276570601917,-0.06936053922464838,-0.06355335298811901,-0.04001729814934396,-0.0032145421564500833,-0.0034065535916096815,-0.0034065535916096815,-0.01359729562063078,0.312033798460999,0.011472559713545688,0.12247387030381211,0.051643766154719495,0.05796831304939233,-0.007578075814530065,-0.0034065535916096815,0.9974589194349714,0.997941650501159,0.9978591778900457,0.998247091670643,0.9869726727759415,0.9876009793369795,0.9874113438492358,0.9879022704569093,0.9726825861680537,0.9734339161200757,0.9731057693087046,0.9736891013208374,0.9583383177027858,0.959256169286272,0.9586171136670003,0.9593626352137556,0.9459144788284208,0.9470021582861616,0.9459917274944359,0.9469012674889817,0.9004466647166143,0.9019850652414969,0.9001073190257137,0.9013949231924869
quantity,0.025084140079056287,0.039495255492158085,0.01576278139060076,0.02948623694971913,1.0,0.5804522943542885,-0.11731754141143853,0.027727334983558415,0.027289684161164365,-0.01562214767622242,0.010515345964250175,-7.626965482271084e-05,0.022134335654702048,-0.016753148057477428,0.0005992832894499624,-0.007197247921201223,0.030123174761826244,-0.024058422055097815,-0.009237167792116818,0.021674631720652385,-0.006394308749084062,-0.013022377986833472,-0.014527111242467196,-0.01600421877039773,0.020729493967444158,-0.025853132803393537,-0.016314575526935673,-0.00940353276579511,0.0560783075681899,0.21584390272730508,0.03332792349697768,-0.13642037173624358,-0.14131069881772182,-0.03347289231357149,0.2768361357231173,0.031151202275124714,0.013692417579141459,-0.05218214217084283,-0.05572972304079153,0.028271139738259784,-0.030645811288450668,-0.055387937035694786,0.11989244768049756,0.0462162556865827,-0.022421147450115766,0.04317584402025351,-0.010220941342668585,-0.027270245053774768,0.024361658189090817,0.02092085772922351,0.00044411162701758826,0.028965005972445144,-0.003102958055780491,0.015036080541955118,0.09754206527189403,-0.04296739851312725,0.07309179313841331,-0.09292188141148928,0.026758001787745136,0.02918515677543253,-0.012200993920293668,0.5024360823327347,0.04576816749647355,0.19145827825421743,0.11062089235415613,0.2645950386202054,0.28303138461472294,-0.021616236059124855,-0.049611921135410485,-0.035419992286782206,0.11788746669868999,0.0532918986210065,0.0532918986210065,0.12663002789502956,0.4256270333282012,-0.32131003676236103,0.08178703754627764,0.024612800686872546,0.036454141804549055,0.11446029698597227,0.0532918986210065,0.014594035752553467,0.021107020578025413,0.011409594376552342,0.01751846237792771,-0.00834552561847837,-0.004875976281081348,-0.009784547959977746,-0.0067169249205587655,-0.03115509731453998,-0.02840669895767258,-0.03230587978153972,-0.029843583325486558,-0.04700629125953634,-0.04458188877881803,-0.04818040231175315,-0.045936819662959066,-0.057111082305121824,-0.05492993798912272,-0.05829495827641561,-0.05625440469021671,-0.08027926453353489,-0.07861245756238444,-0.08138199558551375,-0.07979498407192447
high_low_diff,0.37722007522106676,0.39486862193063066,0.3591549468776107,0.3785749818672928,0.5804522943542885,1.0,-0.03349485426999511,0.37722209321038025,0.3779637431088707,0.018204916978571437,-0.002130991009897336,-0.016985179604752706,-0.0019692235612686856,-0.000626917338891291,0.053993291088606565,-0.005720979254834531,0.0007278965226108947,0.018637028580244668,-0.0006004925362716455,-0.026184164400838643,0.026841509352117165,0.017689027970893896,0.0038095892285895166,-0.014655274015815225,0.009796138454733306,-0.006456743028282559,-0.01662438980341162,-0.00028018752842609557,0.05851125328041664,0.29065486228347254,-0.034497907661555936,-0.05192685595261609,-0.18807174596897785,-0.13707876101231894,0.039249976917909477,0.34532322341386407,0.05294529297259802,0.0782646267378572,-0.01488901138608096,-0.00939191290847186,-0.03125490808308084,-0.06725500903558783,-0.010288555423390123,-0.001542498763494218,-0.02334561713349897,0.02072696084332549,0.03426427627082319,-0.02232840653278467,0.017569900417226773,0.02717320255036068,-0.016842039773402238,0.04392503925213661,-0.016981456508418577,0.019836979782944072,0.08284871111729104,0.021584501589883925,0.02437392316833541,-0.02996508735774025,0.007617952646560185,0.0496658803296548,0.0066238975314317165,0.4059002642085537,0.18657014683659986,0.24630795844949763,0.3190983540329921,0.3723111959649175,0.47684559416395433,-0.08512995072418988,-0.059510430318156685,-0.060098167974672274,0.07240648298954039,0.02606371838296067,0.02606371838296067,0.16822644805445156,0.7458480537063329,-0.5236082604074116,0.1363781653096971,0.05502394907315247,0.05277919439636912,0.06765373314092253,0.02606371838296067,0.3750664969014565,0.38046619930499515,0.36987216135072554,0.3757162497877083,0.37057606656216974,0.37329970785868,0.36842025130092926,0.37111146813905993,0.362709501224302,0.364875108285151,0.36112755443035954,0.36324913220696253,0.35662719753194927,0.35850470002326884,0.3552024416989212,0.35706673707264713,0.3532861913304441,0.35498323615703103,0.35194261767443813,0.35364675215043023,0.3393059277913014,0.3407512427264041,0.33831162310018825,0.339681105592945
open_close_diff,0.025801438775350346,0.003425503420250293,0.004885262909001897,-0.011657973780732274,-0.11731754141143853,-0.03349485426999511,1.0,0.004150424236032195,0.00707545548179211,-0.007988366239372031,-0.0056238517579458355,-0.004108192233826947,0.008169460919664319,0.007868267567216664,0.019692454612994365,0.006627561070093844,0.0009063892952150623,-0.00028213580594486665,0.004005611230958239,0.00337957526259423,0.0014733350654351463,-0.010962461322317534,0.014441054524144114,0.006064927129230215,-0.004804333896673726,0.004842686242669614,0.003652693691255534,-0.004368878383269396,0.008150529838905494,-0.017525044792247507,-0.030413829939378176,0.02184456030593937,0.0009817173435355084,-0.0045195594389905586,-0.018276581893679228,0.0006507908795897499,0.011725008721176135,-0.004042377051161206,0.016113161038812208,0.016753909694249305,0.019778171899890187,0.00865343458805637,-0.024414191511131392,-0.0008976939641823539,0.010109042045580118,-0.0365094525601554,-0.010632916302553622,-0.0059919089404687894,0.00023992586113138063,-0.01027036967728264,-0.0008447165583282357,-0.029716412142718914,-0.004883526638630539,-0.007175645387450021,-0.5948957353836377,0.5925183334814431,-0.3356679969706332,0.36212440106022054,-0.04034407759503615,0.13972402725797228,0.07107849541279293,-0.07965095549662571,0.5724356302422065,-0.5812661146310824,0.5484196807571934,-0.5660138624852694,-0.04128175134126324,-0.10546016950853737,0.1438046035851033,-0.009282643228254743,0.01837341818285096,-0.008824460239859397,-0.008824460239859397,0.052087815178284445,-0.053910331341876006,0.0010226715671980736,-0.022093726467890606,-0.009291202004565052,-0.025723787433512155,0.014215968043997343,-0.008824460239859397,0.02785439007221405,0.024521861089104174,0.025102011517630262,0.022541063236746307,0.029796339644586226,0.028995312060114152,0.029266644486132993,0.028619821637550905,0.031240620887640944,0.030675242107812823,0.031064947254019103,0.030561422770270567,0.031196453086379812,0.03069798080770342,0.031241931875818914,0.03076828125404885,0.02986233782869608,0.029399176098616815,0.030006832510187865,0.02955875230334962,0.030002763172262296,0.029688441119892814,0.030141620548040194,0.029832296800221505
high_low_mid,0.999722261644291,0.9998170291912707,0.9998111912556897,0.9998317314828128,0.027727334983558415,0.37722209321038025,0.004150424236032195,1.0,0.9999524060695048,-0.005287247253388836,-0.006767915629907477,-0.0018280700870452588,0.004514906639310621,0.00556189715335336,0.04943273296390533,0.005492800132873299,0.016299091492618028,0.011545528892979396,-0.0074925199081157514,-0.02207629685942714,0.0645470247694628,-0.012357801532169206,0.023971256678048752,-0.009308421733485199,0.0055500300123080635,0.01867219949699547,-0.01783050206891405,0.01029825685181837,-0.0028460108105530686,0.4791039157017959,-0.016884872114873717,-0.058244920994589146,-0.3170413141289493,-0.13872054063496173,-0.19521278953243376,0.7261530166977521,0.07291562115897098,0.026118891918018663,0.08026403605865877,0.048316743771897236,-0.07473803464325687,-0.15053356172922894,-0.040944817226607484,-0.04461001769125003,-0.04320498065680571,-0.010680161327173452,0.10651779176047171,0.04664934499120731,0.017181634554593848,0.007241046914790688,0.005325157624066233,0.03665618809055965,0.01779166112375573,0.035349506526580525,0.01098799142885105,0.04096451011865467,0.005887847183219813,0.009808398131805238,-0.01993674823560535,0.03817999493665849,0.021010543799588634,-0.002366345419122004,0.15311554722957554,0.12084979784913785,0.2405147235758392,0.20354756486503595,0.017362681937429396,-0.06851245243454351,-0.06375881022720911,-0.04017123819465591,-0.004431020128909816,-0.002973946375290962,-0.002973946375290962,-0.015461125414510774,0.3105480840181491,0.011876174427221492,0.12228534349212344,0.05001597109825969,0.058934031217723365,-0.008774612767984778,-0.002973946375290962,0.9978638045712384,0.9983048965530417,0.998240517250579,0.9985760229132908,0.987374324883223,0.987993626524129,0.9878098905652999,0.9882889722839003,0.9730725329618161,0.9738168496644871,0.9734960451749499,0.9740703324690263,0.9587020116621071,0.9596137163153236,0.9589837711526185,0.9597213926871344,0.9462412756897867,0.9473232156300773,0.946322492381387,0.9472247421589646,0.9007377751938199,0.9022728381869687,0.9004005106314092,0.901683959767076
open_close_mid,0.9998246213794355,0.9997851332967932,0.9997476686773604,0.9998245283927536,0.027289684161164365,0.3779637431088707,0.00707545548179211,0.9999524060695048,1.0,-0.005080368978304193,-0.007023234881409417,-0.0018597258100517026,0.004629300388613697,0.005497940343475189,0.049937921616047355,0.005346960802422101,0.016139721002817107,0.01174361400738737,-0.00750821207258727,-0.02228000536744527,0.06450965031076814,-0.01210162880498485,0.023922754039392688,-0.009276962160941095,0.0055687248927034794,0.018543077762478495,-0.017744941973035198,0.010173503779711253,-0.002856206644973594,0.4790220974215657,-0.017172697611364765,-0.058098299191978,-0.3171193124919816,-0.1387255699101704,-0.19525579453637273,0.7261364080390368,0.07317459431391121,0.02631798077670099,0.08020513330129893,0.04829299372273151,-0.0745848347706008,-0.1503944346523342,-0.04128469299849928,-0.04460241393772921,-0.04331239493085541,-0.01078610275752243,0.10640275842872575,0.046664566449681054,0.017118810934798476,0.00744593827638309,0.005305027467182256,0.03665508072733172,0.017786775596644065,0.03549661993714545,0.009069132788235979,0.042907341692488186,0.004334306583052991,0.011413044045279163,-0.02003233330073913,0.03846011415719536,0.021217756205183288,-0.0025740295780892317,0.15511104673240858,0.11896482177616803,0.2425124174255874,0.20167064600569654,0.01739868719993984,-0.07133920014111501,-0.06086205587340577,-0.04019291639991085,-0.0028704738255977396,-0.0035720166462478386,-0.0035720166462478386,-0.01262206985743007,0.31103724110645153,0.011492210865473924,0.12206522554992613,0.05147192239577556,0.05748889389045137,-0.007312080180388894,-0.0035720166462478386,0.9980235605914389,0.998443881016586,0.9983722733624384,0.9987122271703176,0.9875732441250517,0.9881865712635958,0.9880020107577703,0.9884808409061815,0.9733096011348477,0.9740503715736807,0.9737295113844221,0.9743034354455742,0.9589638894615593,0.9598724421019923,0.9592435493903887,0.9599802296034748,0.9465145240344967,0.9475935733448987,0.9465944829698536,0.9474956677060794,0.9010473887964177,0.9025799668746028,0.9007106298823876,0.9019924944741476
week_day_1,-0.005228412204142952,-0.0048690690248763355,-0.005710062755142716,-0.0049305038296891795,-0.01562214767622242,0.018204916978571437,-0.007988366239372031,-0.005287247253388836,-0.005080368978304193,1.0,-0.24897156024481426,-0.25195511859372016,-0.24915823773909476,-0.24700970844318115,-0.014445027109098245,-0.009454223907304953,-0.5571414120916282,0.8927417960952645,-0.10107885366927058,-0.8830913313445511,-0.06411083383275736,0.9416832449458835,0.11678862113656081,0.11631472465209386,0.1022892645507361,0.016357137089767885,-0.11788130071816236,-0.010109036292339358,0.012571005405262898,-0.00774661609784094,-0.007337303150168444,0.015700942242569224,-0.009616335574873635,-0.013435932549372353,0.02154627506546842,-0.01404821478504316,0.008741122664890353,0.009762283551756774,-0.01594994118877665,0.01612420395413661,-0.0037268125149676505,-0.006756589564596895,0.006919537242625958,-0.006756589564597715,-0.003958513525646337,-0.0035282194296942146,-0.00022644818243545972,0.0005996500557090861,-0.013430546935573818,-0.004467627643683383,-0.00418962502380546,0.03973174214344415,0.0308704537998569,0.03087045379985634,0.0094445802419082,-0.00639950424419891,0.014717791316359214,-0.001334543537206393,-0.016809735308865162,-0.012444907979854723,-0.015158100571730624,-0.0023462576909181426,-0.013918303768984924,0.00401323890386556,-0.0005450396781163813,0.0038571845677213942,0.02018271332795726,0.003916326751409904,0.012123903481281728,0.005712062345885247,-0.0021818748758286573,-0.0054577448999611105,-0.0054577448999611105,0.021482150317314517,0.012446755978052622,-0.02516097953299121,-0.00902878373667407,-0.008136497068731359,-0.012086479811878255,5.1381654609921514e-05,-0.0054577448999611105,-0.004674500423052965,-0.00461176988744636,-0.005334108578862371,-0.0049801615473883945,-0.0025816901409620014,-0.0025796435730360244,-0.00273156937632176,-0.002693725010641336,-0.002048315437964953,-0.002040818176235013,-0.002188026690075916,-0.002153269603582487,-0.0025447337061201003,-0.002519576457884946,-0.0026332363531034264,-0.0025933592629134054,-0.003409164715205863,-0.0033938327427593777,-0.0034682829212849646,-0.003436990517951852,-0.005699942955931531,-0.005638304790519461,-0.0057920777818917316,-0.00572101743616528
